record_type,plan_code,plan_name,source_page,age,age_band,sex,tobacco,base_rate,wp_rate,rate_basis,unit_basis,coverage_fixed,face_min,face_max,policy_fee_annual,volume_adjustment_annual,cv20_per_1000,note,quote_face_amount_input,quote_units_input,include_wp_flag,sold_as_policy_flag,units_derived,annual_premium_base,annual_premium_total,quarterly_total,mbd_base,mbd_total,monthly_direct_total
rate,WL,Whole Life Regular,20,0,,Female,NTU,4.41,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,0,,Male,NTU,4.89,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,1,,Female,NTU,4.59,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,1,,Male,NTU,5.13,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,2,,Female,NTU,4.80,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,2,,Male,NTU,5.36,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,3,,Female,NTU,5.04,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,3,,Male,NTU,5.61,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,4,,Female,NTU,5.27,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,4,,Male,NTU,5.85,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,5,,Female,NTU,5.53,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,5,,Male,NTU,6.15,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,6,,Female,NTU,5.77,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,6,,Male,NTU,6.45,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,7,,Female,NTU,6.05,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,7,,Male,NTU,6.75,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,8,,Female,NTU,6.34,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,8,,Male,NTU,7.08,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,9,,Female,NTU,6.64,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,9,,Male,NTU,7.42,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,10,,Female,NTU,7.00,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,10,,Male,NTU,7.78,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,11,,Female,NTU,7.34,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,11,,Male,NTU,8.17,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,12,,Female,NTU,7.76,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,12,,Male,NTU,8.60,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,13,,Female,NTU,8.17,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,13,,Male,NTU,9.05,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,14,,Female,NTU,8.63,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,14,,Male,NTU,9.54,,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
